,generated_text
0,"When [CARDNAME] enters the battlefield, it deals damage equal to its power to any target.\n{T}, Remove a +1/+1 counter from [CARDNAME]: It deals 2 damage to any target.
Whenever a creature deals combat damage to [CARDNAME], it deals that much damage to any target.
{T}, Discard a card: [CARDNAME] deals 1 damage to each creature with flying and each player.
{T}, Discard a card: [CARDNAME]"
1,"When [CARDNAME] enters the battlefield, you may pay 2 life. If you do, create a 1/1 white and black Human Soldier creature token.
Whenever [CARDNAME] attacks, you may put a +1/+1 counter on it.
Whenever [CARDNAME] attacks, you may put a +1/+1 counter on it.
Flying\nWhen [CARDNAME] enters the battlefield, you may return target creature card with mana value less than or equal to the number of creatures you control"
2,"When [CARDNAME] enters the battlefield, exile target nonland permanent an opponent controls until [CARDNAME] leaves the battlefield.
When [CARDNAME] enters the battlefield, exile target nonland permanent an opponent controls until [CARDNAME] leaves the battlefield.
Flying\nWhenever [CARDNAME] attacks, it gets +1/+0 until end of turn for each other attacking creature you control.
Flying\nWhenever [CARDNAME] attacks, it gets +1/+0 until end of turn"
3,"When [CARDNAME] enters the battlefield, it deals 1 damage to each creature without flying and each player.\nWhenever a creature deals damage to [CARDNAME], it deals that much damage to target creature an opponent controls.
When [CARDNAME] enters the battlefield, create a 1/1 green Saproling creature token for each other creature you control with the same name as that creature.
When [CARDNAME] enters the battlefield, create a 1/1 green Saproling creature token for each other"
4,"When [CARDNAME] enters the battlefield, it deals damage equal to its power to target creature an opponent controls.\n{T}: Add {C}.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
At the beginning of your upkeep, if you have 10 or more cards in your graveyard, you win the game.
Flying\nAt the beginning of your upkeep, if you have 10 or more cards in your graveyard,"
5,"When [CARDNAME] enters the battlefield, target player mills two cards.
{T}: Add {C}.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {W}.\n{W}, {T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
"
6,"When [CARDNAME] enters the battlefield, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
Whenever [CARDNAME] attacks, if you control a Merfolk, create a 1/1 white Human Soldier creature token.\n{1}{W}{U}{B}{R}{G}, Exile [CARDNAME]: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
Flying\nWhenever [CARDNAME] attacks"
7,"When [CARDNAME] enters the battlefield, it deals damage equal to its power to any target.
Flying\n[CARDNAME] can't attack unless defending player controls an Island.
Flying\n{R}: [CARDNAME] gets +1/+0 until end of turn.
Flying\n{R}: [CARDNAME] gets +1/+0 until end of turn.
When [CARDNAME] enters the battlefield, exile target creature an opponent controls until [CARDNAME] leaves the"
8,"When [CARDNAME] enters the battlefield, you may pay {1}{B}. If you do, create a 0/1 black Zombie creature token.
[CARDNAME] enters the battlefield tapped with two charge counters on it.\n{T}: Add {C}.\n{2}{W}, {T}, Remove three charge counters from [CARDNAME]: Put a +1/+1 counter on target creature. It gains haste until end of turn. (It can attack and {T} this turn.)
"
9,"When [CARDNAME] enters the battlefield, put a +1/+1 counter on it.\n{T}: Add {W}.\n{2}, {T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
Whenever [CARDNAME] deals damage to a player, that player discards a card at random.
Destroy target nonartifact, nonland permanent.
Flying\nWhen [CARDNAME] enters the battlefield"
10,"When [CARDNAME] enters the battlefield, destroy target artifact, enchantment, or planeswalker.
Destroy target artifact or enchantment.
Destroy target artifact or enchantment.
Destroy target artifact or enchantment.
Destroy target artifact or enchantment.
Destroy target artifact or enchantment.
Destroy target artifact or enchantment.
Destroy target artifact or enchantment.
Destroy target artifact or enchantment.
Destroy target artifact or enchantment.
Destroy target artifact or enchantment.
Destroy target artifact or enchantment.
Destroy target artifact or enchantment.
Destroy target artifact or"
11,"When [CARDNAME] enters the battlefield, you may return target creature card with mana value 2 or less from your graveyard to your hand.
[CARDNAME] enters the battlefield tapped.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
[CARDNAME] enters the battlefield tapped.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put it onto the battlefield tapped,"
12,"When [CARDNAME] enters the battlefield, if you cast it, create a 1/1 white Human Soldier creature token.
You may sacrifice a creature. If you do, return [CARDNAME] to the battlefield.\n{1}{W}, Discard [CARDNAME]: Return target Human creature card from your graveyard to the battlefield.
Flying\nWhen [CARDNAME] enters the battlefield, you may return target creature card from your graveyard to the battlefield.
Whenever another creature you control dies, you"
13,"When [CARDNAME] enters the battlefield, it deals damage equal to its power to any target.\n{T}, Sacrifice [CARDNAME]: It deals 5 damage to any target.
{T}: Add {C}.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
[CARDNAME] enters the battlefield tapped.\n{T}, Remove a +1/+1 counter from [CARDNAME]: Add"
14,"When [CARDNAME] enters the battlefield, you may pay {W/B}. If you do, return target creature card with mana value less than or equal to [CARDNAME]'s power from your graveyard to the battlefield.
Flying\nWhen [CARDNAME] enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
{T}: Add {W}.
When [CARDNAME] enters the battlefield, you may search your library for"
15,"When [CARDNAME] enters the battlefield, if you cast it, exile up to one target creature.\nDraw a card.
{T}: Add {C}.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
[CARDNAME] enters the battlefield tapped.\n{T}, Remove a charge counter from [CARDNAME]: Add one mana of any color.\n{T}, Remove a charge counter"
16,"When [CARDNAME] enters the battlefield, you may return target creature card with mana value less than or equal to that creature's mana value from your graveyard to the battlefield.
Choose one —\n• Target creature gets +3/+3 and gains trample until end of turn.\n• Destroy target artifact or enchantment.
Put target creature card from a graveyard onto the battlefield under your control. That creature gains haste until end of turn. If it's a creature, it gains haste until end of turn.
You may"
