,generated_text
0,"When [CARDNAME] enters the battlefield, exile it.""]
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {2}, {T}: Exile target card from your graveyard. Draw a card at the beginning of the next turn's upkeep.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {1}, {T}: Target creature gets +1/-1 until end of turn.
This is a nan, Artifact"
1,"When [CARDNAME] enters the battlefield, draw a card.\n{2}, {T}, Remove a card from your graveyard: Create a 0/1 green and white Citizen creature token.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {1}, {T}, Sacrifice [CARDNAME]: Draw a card.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {1}, {T}, Sacrifice ["
2,"When [CARDNAME] enters the battlefield, exile it face down.\n{T}, Remove [CARDNAME] from your graveyard: Draw a card.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {2}, {T}: Target opponent mills X cards, where X is the number of cards in your graveyard.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {4}, {T}: Target creature"
3,"When [CARDNAME] enters the battlefield, draw two cards.\nWhen [CARDNAME] is put into a graveyard from the battlefield, draw two cards.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {6}. This is its rules text: {2}, {T}: Target creature gets +1/-0 for as long as ["
4,"When [CARDNAME] enters the battlefield, draw two cards.\n{3}, {T}: Create a 1/1 green and white Citizen creature token with flying named Citizen.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {3}, {T}: Return target creature card from your graveyard to your hand.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {1}, {T}: Target creature gains band"
5,"When [CARDNAME] enters the battlefield, create a Treasure token. It's an artifact with ""{T}: Add one mana of any color.""
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {4}, {T}: Create a Treasure token. It's an artifact with ""{T}: Add one mana of any color.""
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {4}, {T}: Create a Treasure"
6,"When [CARDNAME] enters the battlefield, draw three cards.\n{T}: Add three mana of any one color.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {1}, {T}: Destroy target permanent with mana value equal to the number of cards in your graveyard.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {1}, {T}: Put a charge counter on [CARDNAME]."
7,"When [CARDNAME] enters the battlefield, you may pay {1}. If you do, draw a card.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {2}, {T}: Target creature gains flying until end of turn.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {"
8,"When [CARDNAME] enters the battlefield, draw two cards.\n{2}, {T}: Create a 0/1 colorless Djinn artifact creature token with flying named Djinn. (It can't be blocked except by creatures with flying or reach.)
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {1}, {T}: Add {U} or {B}.
This is a nan, Artifact magic card with manacost {2}. This is its"
9,"When [CARDNAME] enters the battlefield, you may pay {1}. If you do, draw a card.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {4}, {T}: Create a 0/0 colorless Djinn artifact creature token.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {4}, {T}: Create a 0/0 colorless Djinn artifact creature token.
This is"
10,"When [CARDNAME] enters the battlefield, create a 5/5 colorless Insect artifact creature token with flying. (A creature with flying can't be blocked except by artifact creatures and/or Vehicles.)
This is a nan, Artifact magic card with manacost {2}. This is its rules text: Whenever a player casts a spell, you may pay {2}. If you do, copy that spell. (Create a Clue token. (It can't be your turn.)\nCreatures you control with the power"
